statement,label
Asking about risk-taking behavior in insurance underwriting.,0
Loud neighbors disrupting peace at unreasonable hours.,0
Insisting on payment to keep a proprietary recipe secret.,0
"Exposing a student's academic misconduct (e.g., cheating) unless they provide payment or favors.",1
Using court filings to connect a case number with an individual's legal history.,0
Altered video footage making it seem like a person participated in events they did not.,1
Incorrectly listing awards or recognitions an individual has not received.,0
Noise from construction without prior notification.,0
"Job recommendation engines push certain opportunities based on undisclosed factors, limiting visibility.",0
"Online platforms manipulate news feed algorithms to prioritize certain content, influencing users' political and social views.",0
Threatening to reveal a person's unexpressed reservations about a public stance.,1
Summarizing public and private contributions to political campaigns to gauge political influence.,0
Integrate data on natural resource usage to guide conservation policies.,0
Merging reader comments and interactions on digital news platforms to gauge public opinion on issues.,0
A news website uses article engagement data to suggest subscription services.,0
Threatening to broadcast an individual's off-the-record criticisms of their allies.,1
Threatening a debtor with exposure of their defaulted loans to family and friends.,1
Professional qualifications and certifications are searchable in public databases.,0
Job search portals show candidates' resumes and personal qualifications to recruiters.,0
Public transportation services track travel patterns without explicit notice or choice for riders.,1
Publishing someone's text messages expressing suicidal thoughts.,1
Publishing detailed travel itineraries and accommodation information online.,1
A productivity app shares task management patterns with office supply stores.,1
Employing social media analytics to influence marketing strategies.,0
Combine data from different sensors on an athlete to enhance performance training strategies.,0
Scanning fingerprints for biometric access to devices or secure areas.,0
University directories list student emails and phone numbers publicly.,1
An online tutorial falsely claims you are the instructor to increase sign-ups.,1
"A sales team uses a shared spreadsheet to store customer contact details, which is not password protected.",1
"A news article that misquotes an individual, leading to a false public impression.",0
Merge financial transactions to identify spending habits and financial stability.,1
Employing underwater sensors to detect submarines or divers.,0
Probing someone’s deepest regrets in therapeutic settings.,0
A virtual reality platform uses activity data to advertise VR experiences.,0
A loyalty program selling detailed customer purchase history to third parties.,1
Home security devices track household patterns and can influence daily routines and security perceptions.,0
"Online platforms favoring certain political ads over others, impacting users' exposure to diverse viewpoints.",0
Merge gaming preferences and playtime to customize gaming experiences.,0
Facebook used the phone numbers provided for two-factor authentication to spam users for using its platform.,1
An artist's work is reproduced on merchandise and sold without their authorization.,1
A neighbor's security camera directed at your property.,1
"Career platforms suggest jobs or endorse skills, influencing career development and opportunities.",0
A social media post erroneously labels someone as a convicted felon when they have no criminal record.,1
An employee's performance review is mistakenly sent to the whole office.,1
A lottery ad campaign features your image claiming you are a winner when you are not.,1
Aggregate emergency call data to optimize response times and deployment of services.,0
"An event organizer uses your name and image in promotional content implying you will attend or speak, without your consent.",1
Monitoring classroom attendance with facial recognition software.,1
Asking for testimonials from friends and family for character assessments.,0
"Digital wallets analyze transaction data to offer targeted financial products, affecting financial decision-making.",0
Release of private photographs without consent through photo-sharing platforms.,1
Summarizing entries and exits from surveillance videos across multiple locations to ensure safety and security.,0
Summarizing data from pet care apps to offer tailored pet health and product recommendations.,0
Government benefit programs use algorithms to determine eligibility or benefits without transparency or appeals processes.,1
A cloud storage service experiencing a hack that exposes stored personal documents.,1
Analyzing purchasing habits through loyalty card programs.,0
A greeting card company uses a poem you wrote as text in their cards without your agreement.,1
"Observing changes in online profile informations, like status updates.",0
Requesting details of financial investments on a tax form.,0
A roommate matching service uses your preferences and profile to market to potential matches.,0
Matching utility bill payment histories with tenant records to profile residential stability.,1
Threatening to publish embarrassing school records of an adult in a community position.,1
Event ticketing platforms disclose buyers' names on tickets.,0
Falsely suggesting an individual has received specific honors or knighthoods.,0
Inquiring about someone's medical history during a life insurance application process.,0
Car rental services using GPS tracking data for additional charges based on undisclosed terms of use.,1
Analyzing patterns in emergency call data for public safety planning.,0
Digital mapping services storing location data and history without providing users with comprehensive access to their own location history.,1
Online encyclopedias compile public figures' personal data for articles.,0
Utilizing drone footage to identify individuals based on activity and location.,1
"Unbeknownst to Sam, every online purchase he made was meticulously tracked by a search website. The site compiled a comprehensive profile of his buying habits, detailing everything from frequent purchases to seasonal trends. Armed with this valuable insight, the search website then sold Sam's data to various advertising companies. Soon, every website Sam visited was filled with personalized adverts, eerily aligning with his tastes and preferences.",0
A company sends spam emails about all their products after you order one.,0
Blackmailing a scientist by threatening to reveal fabricated data in their research.,1
Matching warranty registrations with customer service inquiries to track product satisfaction.,0
A confidential business strategy is leaked to competitors.,1
Stealthy recording of daily routines for malicious intent.,1
Leveraging knowledge of a past affair to obtain preferential treatment in professional settings.,1
"An educational institution doesn't regularly audit their security systems, missing out on potential breaches.",0
A digital comic book platform shares reading preferences with movie studios.,1
"An organization does not enforce a strong password policy, resulting in easy-to-guess passwords.",0
Inquiring about medical history during health insurance applications.,1
A mobile game uses in-app purchase history to promote virtual goods.,0
Membership lists of a private club are leaked to the media.,1
"In a quaint little town, John, a voracious reader, visited his local library every week. To enhance their user experience, the library started a new system that used patrons' social security numbers to cater book recommendations. Unhesitatingly, John provided his information, trusting the familiar faces and environment of his local sanctuary. Chapters of new adventures waited for him on the library shelves, meticulously selected based on his social security number that wove the fabric of his unique reading profile.",1
"Financial apps suggest investment or savings plans based on personal financial behavior, directing economic decisions.",0
Using biometric attendance systems to match fingerprints to employee records.,1
Timeshare salespeople accosting tourists.,0
"A dating website uses your image and presents you as one of their customers, when you are not their customer.",1
Being pestered for a date on your commute to get off work.,0
Search engines retaining search histories indefinitely.,1
Grilling someone on their experiences with the law for possible jury disqualification.,0
Grilling someone on their personal conflict resolution strategies.,0
Merge scientific research data to enable meta-analyses.,0
Merge skill assessments to construct employee training programs.,0
An event ticketing site shares your attendance data with performers for future event planning.,1
An urban planning consultancy uses a blog post you wrote about city living in their research materials.,0
Social media platforms automatically suggest friends based on phone contacts uploaded.,1
Retailers use facial recognition for loss prevention without informing customers or obtaining consent.,1
Merge ecommerce return data with customer profiles to enhance product recommendations.,0
Demanding knowledge of personal time management habits for a productivity app.,0
Information about The details of your physical location over time is collected by an online search website in order to Prioritize search results.,0
A teacher shares a student's grades with other students in the classroom.,1
Asking about attendance at public events for security assessment.,0
Having inaccurate employment information on a publicly accessible website.,1
Integrate workshop and webinar attendance to curate educational offers.,0
"Search engines customizing search results based on past searches, creating a ""filter bubble"".",0
Summarizing transaction data across different cryptocurrencies to identify trends or speculative behaviors.,0
Probing into individual's travel habits and frequent destinations for a transportation study.,1
Misleading portrayal of an individual's role in a startup on business news sites.,1
Broadcasting live footage of someone in a compromising situation without their knowledge.,1
Social media sites expose users' likes and interests through APIs.,1
Information about your political views and candidates you support is collected by an online search website in order to Prioritize search results.,0
Connecting passport numbers with travel records.,1
Analyzing credit card transaction records for spending patterns.,1
Academic journals include detailed author contact information.,0
Tax return information is inadvertently disclosed by the tax office.,1
An email provider uses anti-spam algorithms that filter messages without explaining to users why certain messages are being blocked.,0
Amassing player performance data from multiple sports and levels to create comprehensive athlete profiles.,0
"A cloud storage service experiences a data breach, exposing users' confidential documents.",1
Combining data from different surveillance systems to enhance security and threat detection.,1
Electronic billboards display messages with personal dedications or recognitions.,0
Having inaccurate employment information on a publicly accessible website.,1
Digital assistants making purchasing suggestions based on eavesdropped conversations.,1
Soliciting details of personal loss for grief counseling.,0
Smart cars collecting and transmitting location and usage data without clear consent mechanisms and options for users.,1
"Social media platforms shadow-ban users without notification, impacting their ability to communicate and spread information.",0
Merge user-contributed travel tips to create comprehensive guides.,0
A beauty clinic releases before and after photos of clients without explicit consent.,1
A petition circulates with signatories' full names and addresses visible online.,1
"Antivirus and anti-malware tools are not updated or used, leaving systems vulnerable to infection.",0
Posting a private breakup letter or message online.,1
Collect hobby-related purchases to suggest community events or workshops.,0
A personal development app includes your life story as part of their motivational content without asking you.,1
A brochure contains concocted testimonials from supposed satisfied customers.,0
A mobile OS developer sells anonymized user input data to language processing firms.,0
A photo-printing service uses upload histories for targeted promotions of related products.,1
A dating site's security breach reveals users' sexual preferences.,1
In-car entertainment systems that log conversations or travel preferences without clear user controls over data collection.,1
A grocery store uses loyalty card data to sell shopping habits information to third-party advertisers.,1
Publishing misleading testimonies or endorsements in advertising.,0
Publicly sharing someone's failed business ventures or bankruptcies.,1
Health websites offer symptom checkers that nudge users towards specific healthcare choices based on collected data.,1
Falsely attributing quotes or statements to an individual in books or articles.,1
Erroneous details about an individual's travel history on travel blogs.,1
"Physicians releasing patient information without authorization may change their situation (discrimination) or their credibility in court (for example, if the patient has a mental disorder).",1
Secretly adding oneself to private digital conversations or email chains.,1
Inquiring about language proficiency for educational programs.,0
Urging social media users to complete their profiles.,0
An encrypted messaging service has a flaw that allows messages to be intercepted and read by unauthorized parties.,1
Traffic monitoring using cameras for congestion analysis.,0
Misleading profiles on dating websites about someone's attributes or interests.,0
A discarded computer contains recoverable files with sensitive data.,1
Force-feeding advertisements on digital services.,0
Newspapers reveal a person's private sexual orientation.,1
"A rating system is provided for ride-hailing passengers, but passengers are unaware that the rating exists and how it affects how drivers treat them.",1
Asking for personal disaster experiences for emergency response planning.,0
Inquiring about disabilities for disability benefits or accommodations.,0
Asking for customer service experiences for business improvement.,0
Disclosing someone’s off-the-record comments made in trust.,1
An automated system malfunctions and sends out reports containing sensitive information to unauthorized recipients.,1
"E-commerce websites use cookies to track user behavior across the internet without explicit consent, subtly influencing future shopping behavior and choices.",1
Confidential business strategy of a startup shared by an investor in a social gathering.,1
Information about The details of your physical location over time is collected by your doctor in order to diagnose and treat your condition.,0
False claims of ownership or creation of artworks on art community sites.,0
Social media friend requests from unknown people.,0
Cross-referencing patient sign-in data at clinics with healthcare databases to identify individuals seeking specific treatments.,1
Combine entry and exit points on public Wi-Fi networks to analyze foot traffic.,0
Loud construction work early in the morning in residential areas.,0
"Subscription services hide the unsubscribe options, affecting the choice to cancel services.",0
Mobile games display players' locations and profiles to others.,1
A conference organizer shares attendee information with sponsors for follow-up marketing.,1
Tracking user engagement and interactions in e-learning platforms.,0
Social media platforms manipulating timelines to prioritize paid content over organic content.,0
Inquiring about a person's familial genetic disorders during a genetic counseling session.,0
Aggregating consumer feedback across product categories to guide product development.,0
Continuous email follow-ups from networking contacts.,0
Demanding silence from a whistleblower by threatening to reveal their identity.,1
"Social media platform does not encrypt direct messages, leading to interception by unauthorized parties.",1
